using HTTP for the container environment
         6795529 function calls (6512220 primitive calls) in 58.053 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:306(_CountryTimezoneDict)
       41    0.002    0.000    0.005    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:35(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:36(UnsortedIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:365(_CountryNameDict)
        1    0.000    0.000    0.000    0.000 __init__.py:367(_FuncPtr)
      233    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:391(_FixedOffset)
       14    0.000    0.000    0.002    0.000 __init__.py:393(flex_arith_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:396(PyDLL)
        1    0.000    0.000    0.001    0.001 __init__.py:4(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:413(PercentStyle)
        3    0.000    0.000    0.000    0.000 __init__.py:42(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:43(ParserError)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:436(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:437(__init__)
        6    0.000    0.000    0.001    0.000 __init__.py:437(flex_comp_method_FRAME)
        1    0.000    0.000    0.001    0.001 __init__.py:441(StrFormatStyle)
       42    0.000    0.000    0.025    0.001 __init__.py:464(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:471(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:49(check_compatibility)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:499(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:510(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:555(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:57(DtypeWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:688(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:70(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:730(Filter)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:75(UnidentifiedImageError)
        1    0.000    0.000    0.000    0.000 __init__.py:767(Filterer)
       14    0.000    0.000    0.000    0.000 __init__.py:772(__init__)
        1    0.000    0.000    0.102    0.102 __init__.py:8(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:80(import_lzma)
        3    0.000    0.000    0.000    0.000 __init__.py:839(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:849(Handler)
        3    0.000    0.000    0.000    0.000 __init__.py:858(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:887(createLock)
        1    0.000    0.000    0.000    0.000 __version__.py:5(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6668(numeric_type_aliases)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6669(type_aliases_gen)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6704(add_newdoc_for_scalar_type)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6709(<genexpr>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6710(<genexpr>)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:12(is_appengine_sandbox)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:22(is_local_appengine)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:28(is_prod_appengine)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:8(is_appengine)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
    86/85    0.000    0.000    0.000    0.000 _asarray.py:16(asarray)
        9    0.000    0.000    0.000    0.000 _asarray.py:223(require)
        9    0.000    0.000    0.000    0.000 _asarray.py:300(<setcomp>)
        7    0.000    0.000    0.000    0.000 _asarray.py:88(asanyarray)
        1    0.000    0.000    0.006    0.006 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:112(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:142(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:313(Future)
        1    0.000    0.000    0.000    0.000 _base.py:376(BaseExcelReader)
        1    0.000    0.000    0.000    0.000 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:44(Error)
        1    0.000    0.000    0.000    0.000 _base.py:48(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:52(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:547(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:56(InvalidStateError)
        1    0.000    0.000    0.000    0.000 _base.py:584(ExcelWriter)
        1    0.000    0.000    0.000    0.000 _base.py:60(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:640(BrokenExecutor)
        1    0.000    0.000    0.000    0.000 _base.py:702(__new__)
        1    0.000    0.000    0.000    0.000 _base.py:75(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:785(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:830(_get_sheet_name)
    82106    0.087    0.000    0.128    0.000 _base.py:837(_value_with_fmt)
        1    0.000    0.000    0.000    0.000 _base.py:871(check_extension)
        2    0.000    0.000    0.000    0.000 _base.py:881(<genexpr>)
        1    0.000    0.000    0.000    0.000 _base.py:97(_FirstCompletedWaiter)
